city,state_name,country_name,latitude,longitude,nyc_distance,dc_distance
Wayne,Pennsylvania,United States,40.0440149,-75.3878616,86.28662405506098,118.96865932717007
Bellevue,Washington,United States,47.6144219,-122.1923372,2401.6450690436573,2321.2207844040267
Saint Petersburg,Florida,United States,27.7703796,-82.6695085,1019.3612038775085,832.1285743939796
Portland,Maine,United States,43.6610277,-70.2548596,280.08753015110165,482.62661112363566
Roanoke,Virginia,United States,37.270973,-79.9414313,397.91353286817895,193.55964722321343
Fort Worth,Texas,United States,32.753177,-97.3327459,1400.6664635670604,1212.2091409966954
New Rochelle,New York,United States,40.9115386,-73.7826363,18.037489216750384,222.3082276860373
Riverdale,Maryland,United States,38.9615103,-76.9296515,196.90001974093758,7.774396233467181
Wheaton,Maryland,United States,39.0398314,-77.0552555,198.96061175831642,10.432162954458347
Pasadena,California,United States,34.1476452,-118.1444779,2443.0784693025157,2291.475715069712
Dayton,Ohio,United States,39.7589478,-84.1916069,542.2883569696413,387.7405768499027
Damascus,Maryland,United States,39.2884381,-77.2038717,196.0620486029875,28.921768907058517
Haymarket,Virginia,United States,38.8121398,-77.6368038,233.5602046434748,32.61692010856438
Clarksville,Maryland,United States,39.2065447,-76.9429182,187.3645838286508,22.517011979537763
Alpharetta,Georgia,United States,34.0709576,-84.2747329,726.4657099794769,521.8488654029564
Decatur,Georgia,United States,33.7737582,-84.296069,741.2396327764677,536.5668554083627
Miami Beach,Florida,United States,25.7929198,-80.1353006,1086.9884918787745,920.2255702017751
Bethlehem,Pennsylvania,United States,40.6178915,-75.3786521,72.417607717274,148.50104525315115
Ridgefield,Connecticut,United States,41.2814842,-73.4981792,47.38418786358144,249.92043022175244
Somerville,Massachusetts,United States,42.3875968,-71.0994968,189.88710128966457,394.5260606165357
Ridgewood,New Jersey,United States,40.9796683,-74.1194403,19.355055696121788,211.7971069714791
Basking Ridge,New Jersey,United States,40.7064088,-74.5492725,28.528634126029417,182.44666451617124
Edison,New Jersey,United States,40.5382375,-74.39451734508772,23.70962278945804,181.138439643884
Santa Barbara,California,United States,34.4221319,-119.7026673,2517.001661339328,2368.541592500114
Omaha,Nebraska,United States,41.2587459,-95.9383758,1144.4241490850682,1012.8474976334813
Suitland,Maryland,United States,38.848724,-76.9238625,201.62619945581693,6.861472399528962
Elkridge,Maryland,United States,39.2128338,-76.7137155,177.1102544345373,28.41082610285234
Tulsa,Oklahoma,United States,36.1556805,-95.9929113,1229.936946484932,1055.963442722996
Hoboken,New Jersey,United States,40.7433066,-74.0323752,2.523245156764599,204.85107432026103
West Hartford,Connecticut,United States,41.7620447,-72.7420399,97.86805223725162,301.2794792553734
Hartford,Connecticut,United States,41.7655582,-72.69061276146614,99.86478525387321,303.48245470220024
Pompano Beach,Florida,United States,26.2378597,-80.1247667,1057.6000546446685,890.0061465727288
Dumfries,Virginia,United States,38.5676202,-77.3280382,230.83188982412474,27.084072072653274
Andover,Massachusetts,United States,42.65717,-71.1408776,199.9240363921139,404.0132244871548
Needham,Massachusetts,United States,42.283431,-71.2328329,180.1277946787422,384.78718401054556
Newtown,Pennsylvania,United States,40.65294535,-76.34504304490187,122.93232997656526,127.1935725417791
Long Beach,California,United States,33.7690164,-118.191604,2456.2260398484755,2303.2091898271024
Wilmington,North Carolina,United States,34.2257282,-77.9447107,496.85651766484705,325.4594343529924
Huntington,New York,United States,40.868154,-73.425676,32.269806134168185,235.67115393643985
Arlington,Massachusetts,United States,42.4153739,-71.1564428,188.7164552048305,393.296023199716
Littleton,Colorado,United States,39.613321,-105.0166498,1634.7590633927882,1495.3130213359984
Highland Park,Illinois,United States,42.1816919,-87.8003438,722.5804932565442,609.7680378680316
Key Biscayne,Florida,United States,25.6968351,-80.1635261,1093.826333842219,927.0502065389745
Mount Rainier,Maryland,United States,38.9415,-76.9649751,199.24782299151533,5.432052978529488
Pasadena,Maryland,United States,39.110637499999996,-76.55069675427924,174.6166249867169,30.459612127542695
New Canaan,Connecticut,United States,41.146763,-73.4948446,40.15826494582691,244.1621490763322
Clearwater,Florida,United States,27.9658533,-82.8001026,1011.0066623358219,822.6231806340943
Sherman Oaks,California,United States,34.1508718,-118.4489865,2458.9393427848545,2307.754884683414
Port Washington,New York,United States,40.8254914,-73.68128200830327,18.72871653799501,223.00765808190914
Naperville,Illinois,United States,41.7728699,-88.1479278,739.3861299600593,618.8170200175227
Middleburg,Virginia,United States,38.9690189,-77.7355056,231.94865140076442,37.86903238837514
Asheville,North Carolina,United States,35.6009498,-82.5540161,583.4848531628538,379.1149849392099
Weston,Florida,United States,26.1003392,-80.399513,1071.914486142324,902.6249352917425
Adelphi,Maryland,United States,39.0030666,-76.9721023,196.91980846172956,8.677139291370352
Reisterstown,Maryland,United States,39.4695489,-76.8294213,172.44352858885253,41.61241489508239
Short Hills,New Jersey,United States,40.7478786,-74.3254271,16.940990801773435,193.12835008662248
Davidsonville,Maryland,United States,38.9228697,-76.6277374,186.27194187901355,22.351420990171054
Harpers Ferry,West Virginia,United States,39.323418,-77.7319766,219.6422027968098,47.75246379027585
St. Louis,Missouri,United States,38.6264178,-90.1998378,874.0028731242486,710.3717462731629
Fort Myers,Florida,United States,26.640628,-81.8723084,1069.3877723484552,889.3204257685395
Englewood,Colorado,United States,39.6482059,-104.9879641,1632.7377015648544,1493.499342605164
Bel Air,Maryland,United States,39.5355063,-76.3490396,148.30700328779585,58.00275582935979
Yonkers,New York,United States,40.9312099,-73.8987469,16.090494530683657,218.39556781584196
Boyds,Maryland,United States,39.1840886,-77.3122325,204.78410625255842,25.068510800216643
Martinsburg,West Virginia,United States,39.4562528,-77.9639604,226.93478719808084,63.17758754124513
Pittsford,New York,United States,43.090959,-77.515298,244.25263615511062,291.015487599351
Front Royal,Virginia,United States,38.9178538,-78.1917718,254.76924145825632,62.10295412472134
Shepherdstown,West Virginia,United States,39.4300996,-77.804161,219.88934377566972,55.46615598272322
La Jolla,California,United States,32.83259,-117.2716839,2435.202148137633,2277.386754334972
Midlothian,Virginia,United States,37.5062673,-77.649268,295.3467673563982,100.97150260775666
Mechanicsburg,Pennsylvania,United States,40.2101972,-77.0047276,161.78937367930226,91.1627968368892
Landover,Maryland,United States,38.9340002,-76.8966397,196.71878387606372,8.33351091819486
Yardley,Pennsylvania,United States,40.245664,-74.8459972,54.74722537452342,149.94087858176152
Maplewood,New Jersey,United States,40.7312123,-74.2734808,14.099277475419733,194.4629598421665
Salisbury,Maryland,United States,38.3662114,-75.6008881,182.9211903657707,85.82086443920633
Eugene,Oregon,United States,44.0505054,-123.0950506,2485.250090839427,2385.3720612776197
State College,Pennsylvania,United States,40.7944504,-77.8616386,202.3798941660053,138.52414705632896
Wayne,New Jersey,United States,40.9491723,-74.2376802,20.33782421733336,205.8093536984721
Framingham,Massachusetts,United States,42.3095704,-71.4413097,172.738650790022,377.2332707251242
Summit,New Jersey,United States,40.7182356,-74.3592296,18.54881720356727,190.44952305755615
Dulles,Virginia,United States,38.95226625,-77.45342297783296,219.91842606971437,22.6918484645459
East Brunswick,New Jersey,United States,40.4692662,-74.385166,26.076000073789615,178.63874790523965
Poolesville,Maryland,United States,39.1459392,-77.4169311,210.9471390037373,26.927206467057932
Bristow,Virginia,United States,38.7233263,-77.5365669,232.8196933974419,29.12940976417689
Millersville,Maryland,United States,39.0595542,-76.6480219,180.88999605054192,24.17020037364726
Natick,Massachusetts,United States,42.2836393,-71.346996,175.44313668603257,380.0531377776893
Bradenton,Florida,United States,27.4989278,-82.5748194,1033.5299124749806,847.4695892211736
Wilmette,Illinois,United States,42.0757315,-87.7193768,718.0203311911488,603.5467294931667
Bryn Mawr,Pennsylvania,United States,40.0198335,-75.3046299,83.56219892424312,121.24185739225966
Wilton,Connecticut,United States,41.1953739,-73.4378988,44.638101583936766,248.57496593045087
Boise,Idaho,United States,43.6166163,-116.200886,2152.5052176727904,2046.011361611056
Glen Allen,Virginia,United States,37.664879,-77.48712356574592,281.2493660050713,87.86280004199351
Sudbury,Massachusetts,United States,42.3834278,-71.4161725,176.96278217490806,381.33496132840975
Lutherville Timonium,Maryland,United States,39.4289472,-76.6271397,164.75661545471328,43.348862639207766
Oak Park,Illinois,United States,41.8878145,-87.7887615,721.0478026310316,603.1350515791742
Waltham,Massachusetts,United States,42.3756401,-71.2358004,183.82654559979844,388.4003056171128
La Plata,Maryland,United States,38.5292877,-76.9752514,218.57622615080547,25.06325383920126
Acton,Massachusetts,United States,42.4850931,-71.43284,180.89666234852197,384.9625018083739
Winston Salem,North Carolina,United States,36.0998131,-80.2440518,464.36869682811283,260.7208628936727
Mountain View,California,United States,37.3893889,-122.0832101,2563.849300051651,2430.6644709103416
Detroit,Michigan,United States,42.3315509,-83.0466403,481.75322712482904,395.03513520742604
Roswell,Georgia,United States,34.02332,-84.360022,732.2983291194215,527.6880090069404
Tacoma,Washington,United States,47.2495798,-122.4398746,2416.2677277195166,2333.8074751466015
Carlisle,Pennsylvania,United States,40.201499,-77.1890783,171.42346426478107,90.8916048636743
Chesapeake,Virginia,United States,36.7183708,-76.2466798,300.92953275211624,155.8751721850352
Fort Collins,Colorado,United States,40.5508527,-105.0668085,1624.2615245042944,1491.2795169024625
Capitol Heights,Maryland,United States,38.8853963,-76.9159441,199.66399971423516,6.702090616882358
Media,Pennsylvania,United States,39.9167783,-75.387693,91.32986696460125,113.3476314041408
Anchorage,Alaska,United States,61.2163129,-149.894852,3370.1902921055575,3369.2502617378696
